Heure;Debit (veh/h): Boucle 1;Debit (veh/h): Boucle 2;Vitesse (km/h): Boucle 1;Vitesse (km/h): Boucle 2;To (%): Boucle 1;To (%): Boucle 2
06:00;1080;1140;84;86;3;4
06:01;900;1020;88;87;3;3
06:02;1080;900;87;89;3;3
06:03;840;960;91;86;2;3
06:04;1140;1020;87;81;3;3
06:05;840;1200;86;86;2;4
06:06;1080;960;81;83;3;3
06:07;960;1680;74;79;3;6
06:08;2160;1380;82;85;6;3
06:09;1140;1920;84;84;3;5
06:10;1500;1080;79;87;4;3
06:11;1620;1980;83;85;5;7
06:12;2100;2220;88;83;6;7
06:13;1200;1200;88;86;3;3
06:14;1560;1620;78;92;4;4
06:15;1380;1500;76;81;4;6
06:16;900;1260;82;81;3;3
06:17;1860;1440;82;87;4;3
06:18;1380;1560;86;79;4;5
06:19;1320;1860;84;88;3;5
06:20;1860;1860;85;86;4;5
06:21;2040;1980;79;85;5;5
06:22;1680;1680;86;89;4;5
06:23;1680;1800;84;87;4;5
06:24;2040;1920;86;88;5;6
06:25;1140;1380;80;88;3;4
06:26;1800;1800;79;79;5;6
06:27;2280;2100;77;86;6;6
06:28;2100;2580;80;79;6;9
06:29;2160;2400;76;85;8;7
06:30;2460;1560;82;85;6;5
06:31;1380;2160;83;87;4;5
06:32;2580;2400;82;84;6;6
06:33;2160;2460;82;84;6;7
06:34;2100;2160;83;91;6;6
06:35;1740;1980;86;84;4;6
06:36;2340;2640;82;85;6;6
06:37;2520;2220;80;87;6;5
06:38;1860;2220;83;90;4;6
06:39;2520;2220;82;83;6;6
06:40;1560;2820;82;83;4;7
06:41;3600;3000;81;88;8;7
06:42;2760;2820;84;83;6;7
06:43;2700;2880;80;84;7;9
06:44;3000;3900;76;81;9;11
06:45;3360;2700;77;84;9;7
06:46;2760;3060;84;83;7;8
06:47;2820;3480;77;84;7;9
06:48;3360;4020;78;78;9;12
06:49;4260;3960;72;80;11;12
06:50;3720;4320;72;80;10;13
06:51;3660;2340;77;85;10;6
06:52;2520;3720;86;82;6;10
06:53;3420;3720;75;82;9;10
06:54;3540;4560;76;79;9;12
06:55;4860;3900;67;83;14;11
06:56;4260;3960;75;82;11;11
06:57;3420;4320;76;82;9;11
06:58;3840;4260;74;75;10;12
06:59;4680;4680;69;81;12;13
07:00;4260;4920;77;80;11;14
07:01;3960;3060;78;85;11;8
07:02;3180;4200;78;78;8;12
07:03;4500;5100;69;80;12;14
07:04;4200;3720;71;79;11;11
07:05;3660;4320;75;74;9;14
07:06;5040;4920;71;72;14;14
07:07;4020;4920;67;71;12;16
07:08;4380;3960;60;74;13;12
07:09;4380;5340;61;74;14;16
07:10;5760;4440;67;77;16;13
07:11;3960;4200;75;76;10;13
07:12;3840;5820;62;72;12;18
07:13;5580;4740;60;76;17;13
07:14;4920;5100;72;75;13;14
07:15;4620;4860;68;77;13;13
07:16;4260;5880;67;63;12;21
07:17;5700;4620;56;75;20;14
07:18;4380;4320;60;77;14;12
07:19;4260;3840;71;77;11;11
07:20;4020;5760;73;69;11;19
07:21;5280;4800;64;69;16;16
07:22;4620;4200;60;75;16;12
07:23;4140;4920;67;72;11;15
07:24;4260;5280;68;66;12;18
07:25;5100;4440;63;70;15;14
07:26;4380;5100;64;70;13;16
07:27;5340;5400;62;70;16;16
07:28;4620;5160;67;72;13;15
07:29;4800;4080;62;72;14;12
07:30;3540;3840;68;72;10;11
07:31;3720;4260;70;76;10;13
07:32;4260;5280;66;70;13;16
07:33;5280;5040;61;72;17;15
07:34;4560;5100;56;68;15;16
07:35;4560;3540;48;61;18;12
07:36;3660;4800;47;68;13;15
07:37;4500;4020;56;73;15;13
07:38;4620;5460;51;71;17;15
07:39;5280;5520;52;67;19;18
07:40;5040;4920;62;59;15;19
07:41;4320;4800;57;63;15;17
07:42;4260;4440;55;59;14;16
07:43;4500;4620;50;52;16;18
07:44;4800;5520;42;66;20;18
07:45;4740;5040;48;63;18;18
07:46;4920;5520;54;62;17;19
07:47;4680;4560;48;40;18;26
07:48;4980;4200;45;54;20;17
07:49;3540;4800;43;46;17;22
07:50;4620;4560;49;51;17;19
07:51;4560;4380;49;66;17;14
07:52;4080;4260;38;52;19;18
07:53;4260;4080;46;65;19;14
07:54;4080;4560;44;74;17;13
07:55;4140;3600;54;67;14;12
07:56;4320;3600;53;60;15;14
07:57;3600;4140;57;72;12;14
07:58;4200;4320;47;72;18;13
07:59;4260;4380;50;69;17;13
08:00;3900;4260;56;71;12;12
08:01;4020;4200;55;67;14;13
08:02;4260;4740;57;63;14;17
08:03;4620;4140;55;72;16;13
08:04;4260;3600;57;74;14;10
08:05;3960;4860;68;72;12;15
08:06;4740;4680;61;69;15;14
08:07;4260;4020;57;70;14;13
08:08;4020;4980;63;63;12;18
08:09;4080;4200;48;67;17;13
08:10;3720;4440;36;66;19;14
08:11;4320;5040;56;66;15;16
08:12;4860;5340;53;63;18;18
08:13;4020;3900;39;66;19;13
08:14;3840;3900;40;67;18;13
08:15;3420;3840;36;58;19;16
08:16;3360;4260;30;42;23;23
08:17;3780;3720;27;62;27;13
08:18;3780;4020;23;72;27;12
08:19;3780;4260;26;57;26;16
08:20;4380;4020;36;59;22;15
08:21;3060;3900;34;61;28;13
08:22;3600;3240;23;59;33;14
08:23;2880;3360;20;46;28;18
08:24;3000;3840;19;36;30;21
08:25;3780;4740;28;46;25;22
08:26;3780;3720;25;53;28;14
08:27;4440;3540;31;56;26;14
08:28;3900;3660;27;43;28;20
08:29;3000;3900;28;47;21;19
08:30;4080;3720;33;42;23;19
08:31;3480;3600;34;39;18;28
08:32;3420;3420;40;37;17;29
08:33;3360;3900;41;36;14;23
08:34;3480;3120;51;41;13;15
08:35;4140;4080;46;36;16;25
08:36;3180;4260;35;32;18;29
08:37;3720;4020;36;34;21;26
08:38;3480;4380;33;36;19;25
08:39;4440;4380;41;38;20;26
08:40;3660;2940;44;45;15;13
08:41;3360;3420;33;41;18;18
08:42;3960;4260;35;42;21;22
08:43;3720;3360;39;34;20;30
08:44;3180;3360;28;22;21;30
08:45;3660;3720;32;40;21;20
08:46;3360;3000;32;29;20;33
08:47;3300;3180;28;35;22;26
08:48;3540;4320;30;39;22;24
08:49;4140;2640;41;28;19;37
08:50;3180;3480;39;37;15;23
08:51;3600;3600;37;37;18;20
08:52;3720;3540;39;38;18;22
08:53;3240;3960;31;40;21;22
08:54;2880;3360;36;59;22;13
08:55;3780;3060;52;73;14;9
08:56;3360;3360;46;58;14;14
08:57;3720;2940;39;44;18;14
08:58;2880;4680;29;48;18;22
08:59;4500;4740;41;56;19;19
09:00;4440;3420;47;48;18;19
09:01;3780;3420;46;31;16;28
09:02;3420;3540;38;44;20;17
09:03;3660;2880;35;74;18;10
09:04;3120;4020;33;78;19;12
09:05;3480;3120;38;74;18;9
09:06;3300;3480;38;76;16;11
09:07;3720;2580;50;83;14;8
09:08;2880;4020;50;69;11;13
09:09;3120;3540;35;73;17;12
09:10;3960;2940;44;78;18;9
09:11;3060;2700;36;82;15;7
09:12;2580;2880;52;77;10;8
09:13;3660;3480;66;80;10;10
09:14;2640;2520;76;82;7;7
09:15;2640;2820;83;82;7;7
09:16;2820;2820;72;84;7;7
09:17;2940;2940;81;82;7;9
09:18;2520;3060;74;84;7;8
09:19;3240;3720;79;82;9;9
09:20;3660;3180;71;78;10;9
09:21;2520;3420;71;76;7;9
09:22;3540;2760;72;83;9;8
09:23;2640;2940;82;78;7;11
09:24;3180;3900;74;77;10;11
09:25;3540;3060;71;83;9;8
09:26;3300;3300;78;80;9;10
09:27;3480;3900;77;80;9;11
09:28;3240;3300;77;81;8;9
09:29;3120;3060;73;73;9;9
09:30;2640;2880;68;78;8;9
09:31;2880;2700;71;83;8;8
09:32;2280;3060;80;76;6;10
09:33;3360;4140;74;75;10;13
09:34;3720;3060;65;79;12;9
09:35;3480;3300;73;77;10;9
09:36;3360;3060;63;81;10;8
09:37;2640;3900;78;77;7;11
09:38;3720;3900;70;80;10;12
09:39;3600;3060;68;81;11;8
09:40;2940;3120;76;80;8;8
09:41;2820;2280;73;82;7;6
09:42;2820;3420;71;76;8;10
09:43;3000;3600;69;78;9;11
09:44;3300;3300;73;81;9;9
09:45;2940;3420;79;81;7;10
09:46;3180;2580;73;82;9;8
09:47;2520;3240;82;81;7;10
09:48;3180;2880;75;75;8;9
09:49;2400;3060;79;84;7;9
09:50;3000;2640;75;79;8;8
09:51;2700;3120;77;82;7;9
