Heure;Debit;Vitesse;TauxOccupation
06:00;1140;86;4
06:01;1020;87;3
06:02;900;89;3
06:03;960;86;3
06:04;1020;81;3
06:05;1200;86;4
06:06;960;83;3
06:07;1680;79;6
06:08;1380;85;3
06:09;1920;84;5
06:10;1080;87;3
06:11;1980;85;7
06:12;2220;83;7
06:13;1200;86;3
06:14;1620;92;4
06:15;1500;81;6
06:16;1260;81;3
06:17;1440;87;3
06:18;1560;79;5
06:19;1860;88;5
06:20;1860;86;5
06:21;1980;85;5
06:22;1680;89;5
06:23;1800;87;5
06:24;1920;88;6
06:25;1380;88;4
06:26;1800;79;6
06:27;2100;86;6
06:28;2580;79;9
06:29;2400;85;7
06:30;1560;85;5
06:31;2160;87;5
06:32;2400;84;6
06:33;2460;84;7
06:34;2160;91;6
06:35;1980;84;6
06:36;2640;85;6
06:37;2220;87;5
06:38;2220;90;6
06:39;2220;83;6
06:40;2820;83;7
06:41;3000;88;7
06:42;2820;83;7
06:43;2880;84;9
06:44;3900;81;11
06:45;2700;84;7
06:46;3060;83;8
06:47;3480;84;9
06:48;4020;78;12
06:49;3960;80;12
06:50;4320;80;13
06:51;2340;85;6
06:52;3720;82;10
06:53;3720;82;10
06:54;4560;79;12
06:55;3900;83;11
06:56;3960;82;11
06:57;4320;82;11
06:58;4260;75;12
06:59;4680;81;13
07:00;4920;80;14
07:01;3060;85;8
07:02;4200;78;12
07:03;5100;80;14
07:04;3720;79;11
07:05;4320;74;14
07:06;4920;72;14
07:07;4920;71;16
07:08;3960;74;12
07:09;5340;74;16
07:10;4440;77;13
07:11;4200;76;13
07:12;5820;72;18
07:13;4740;76;13
07:14;5100;75;14
07:15;4860;77;13
07:16;5880;63;21
07:17;4620;75;14
07:18;4320;77;12
07:19;3840;77;11
07:20;5760;69;19
07:21;4800;69;16
07:22;4200;75;12
07:23;4920;72;15
07:24;5280;66;18
07:25;4440;70;14
07:26;5100;70;16
07:27;5400;70;16
07:28;5160;72;15
07:29;4080;72;12
07:30;3840;72;11
07:31;4260;76;13
07:32;5280;70;16
07:33;5040;72;15
07:34;5100;68;16
07:35;3540;61;12
07:36;4800;68;15
07:37;4020;73;13
07:38;5460;71;15
07:39;5520;67;18
07:40;4920;59;19
07:41;4800;63;17
07:42;4440;59;16
07:43;4620;52;18
07:44;5520;66;18
07:45;5040;63;18
07:46;5520;62;19
07:47;4560;40;26
07:48;4200;54;17
07:49;4800;46;22
07:50;4560;51;19
07:51;4380;66;14
07:52;4260;52;18
07:53;4080;65;14
07:54;4560;74;13
07:55;3600;67;12
07:56;3600;60;14
07:57;4140;72;14
07:58;4320;72;13
07:59;4380;69;13
08:00;4260;71;12
08:01;4200;67;13
08:02;4740;63;17
08:03;4140;72;13
08:04;3600;74;10
08:05;4860;72;15
08:06;4680;69;14
08:07;4020;70;13
08:08;4980;63;18
08:09;4200;67;13
08:10;4440;66;14
08:11;5040;66;16
08:12;5340;63;18
08:13;3900;66;13
08:14;3900;67;13
08:15;3840;58;16
08:16;4260;42;23
08:17;3720;62;13
08:18;4020;72;12
08:19;4260;57;16
08:20;4020;59;15
08:21;3900;61;13
08:22;3240;59;14
08:23;3360;46;18
08:24;3840;36;21
08:25;4740;46;22
08:26;3720;53;14
08:27;3540;56;14
08:28;3660;43;20
08:29;3900;47;19
08:30;3720;42;19
08:31;3600;39;28
08:32;3420;37;29
08:33;3900;36;23
08:34;3120;41;15
08:35;4080;36;25
08:36;4260;32;29
08:37;4020;34;26
08:38;4380;36;25
08:39;4380;38;26
08:40;2940;45;13
08:41;3420;41;18
08:42;4260;42;22
08:43;3360;34;30
08:44;3360;22;30
08:45;3720;40;20
08:46;3000;29;33
08:47;3180;35;26
08:48;4320;39;24
08:49;2640;28;37
08:50;3480;37;23
08:51;3600;37;20
08:52;3540;38;22
08:53;3960;40;22
08:54;3360;59;13
08:55;3060;73;9
08:56;3360;58;14
08:57;2940;44;14
08:58;4680;48;22
08:59;4740;56;19
09:00;3420;48;19
09:01;3420;31;28
09:02;3540;44;17
09:03;2880;74;10
09:04;4020;78;12
09:05;3120;74;9
09:06;3480;76;11
09:07;2580;83;8
09:08;4020;69;13
09:09;3540;73;12
09:10;2940;78;9
09:11;2700;82;7
09:12;2880;77;8
09:13;3480;80;10
09:14;2520;82;7
09:15;2820;82;7
09:16;2820;84;7
09:17;2940;82;9
09:18;3060;84;8
09:19;3720;82;9
09:20;3180;78;9
09:21;3420;76;9
09:22;2760;83;8
09:23;2940;78;11
09:24;3900;77;11
09:25;3060;83;8
09:26;3300;80;10
09:27;3900;80;11
09:28;3300;81;9
09:29;3060;73;9
09:30;2880;78;9
09:31;2700;83;8
09:32;3060;76;10
09:33;4140;75;13
09:34;3060;79;9
09:35;3300;77;9
09:36;3060;81;8
09:37;3900;77;11
09:38;3900;80;12
09:39;3060;81;8
09:40;3120;80;8
09:41;2280;82;6
09:42;3420;76;10
09:43;3600;78;11
09:44;3300;81;9
09:45;3420;81;10
09:46;2580;82;8
09:47;3240;81;10
09:48;2880;75;9
09:49;3060;84;9
09:50;2640;79;8
09:51;3120;82;9
09:52;3360;77;10
09:53;2460;82;6
09:54;3180;78;9
09:55;3480;81;9
09:56;2880;81;8
09:57;3360;81;11
09:58;3600;78;11
09:59;3300;80;10
